,title,address,website,phone_number
59,Caffe Nero,"32 Cranbourn St, London, WC2H 7AD",http://www.caffenero.co.uk,020 7836 6772
60,Caffe Concerto,"43 Whitehall, London, SW1A 2BX",http://www.caffeconcerto.co.uk,020 7494 6846
61,Caffe Italiano,"1 Irving Street, Chinatown, LONDON, WC2H 7AT",,020 7930 4727
62,La Chandelle,"2-3 Irving Street, Chinatown, LONDON, WC2H 7AT",,020 7930 4727
63,Pret a Manger,"5 Pall Mall East, London, SW1Y 5BA",http://www.pret.com,020 7839 3995
64,Pret a Manger,"52 Haymarket, London, SW1Y 4RP",https://www.pret.co.uk/en-GB,020 7932 5246
65,Eli's Espresso Bar,"28 Bedfordbury, London, WC2N 4BJ",,020 7240 7810
66,Yaki Yaki,"4 New Row, Charing Cross, LONDON, WC2N 4LH",http://yakiyaki.co.uk,
67,Embankment Cafe,"25 Victoria Embankment, London, WC2R 2PN",,020 7930 1471
68,Monmouth Coffee Co.Ltd,"27 Monmouth St, London, WC2H 9DD",http://www.monmouthcoffee.co.uk,020 7232 3010
69,Maison Bertaux Ltd,"28 Greek St, London, W1D 5DQ",http://www.maisonbertaux.com,020 7437 6007
70,The Covent Garden Kafeneo,"12-14 Tavistock St, London, WC2E 7PH",http://www.kafeneo.co.uk,020 7240 8577
71,Canela Covent Garden Ltd,"33 Earlham St, London, WC2H 9LS",http://www.canelacafe.com,020 7240 6926
72,Host,"31 Henrietta Street, Covent Garden, LONDON, WC2E 8NA",http://www.hostcoffee.co.uk,
73,Coffee Club App Limited,"42 Cranbourn St, London, WC2H 7AN",http://www.coffeeclub.cc,07977 042253
74,Costa Coffee,"Leicester Square Station, Westminster, London, WC2H 0AP",http://www.costa.co.uk,020 7494 2456
75,MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
76,Pistachios in the Park - Red Lion Cafe,"Red Lion Square Gardens, London, WC1R 4QH",,020 3116 0024
77,Viet Cafe,"23 Haymarket, London, SW1Y 4DG",,0207839 3246
78,Costa,"39A Coventry Street, Chinatown, LONDON, W1D 6BZ",http://www.costa.co.uk,
79,Arabica,"5 King Street, London, WC2E 8SD",http://www.arabica.coffee,020 7379 9621
80,Caffe Nero,"29 Southampton St, London, WC2E 7JA",http://www.caffenero.com,020 7240 3433
81,Coffee Island,"4b Upper St Martin's Lane, London, WC2H 9NY",http://www.coffeeisland.co.uk,020 7836 3007
82,Avobar,"23-24 Henrietta Street, Covent Garden, LONDON, WC2E 8NA",http://www.avobar.co.uk,020 3701 6500
83,Caffe Nero,"Unit 1, 65-72, The Strand, London, WC2N 5LR",http://www.caffenero.com,020 7930 8483
84,Madd Hatters,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",http://www.lovemaddhatters.co.uk,020 7836 8463
85,Yunique,"10 Little Newport Street, London, WC2H 7JJ",https://linktr.ee/yuniquetealondon,020 7287 6383
86,Pret a Manger,"39 Coventry St, London, W1D 6BZ",https://locations.pret.co.uk/london/39-coventry-street,020 3272 0090
87,Cafe Eterno,"34, Neal St, Covent Garden, London, WC2H 9PS",http://www.lcm.org.uk,020 7240 1599
88,Hotel Chocolat Cafe,"Covent Garden, London, WC2E 8RB",https://www.hotelchocolat.com/,020 7836 3349
89,Milk Bar,"3 Bateman St, London, W1D 4AG",http://www.milkbarsoho.co.uk,020 7287 4796
90,Costa Coffee,"37 Southampton St, London, WC2E 7HG",http://www.costa.co.uk,020 7240 2135
91,Charles Dickens' Coffee House,"26 Wellington St, London, WC2E 7DD",http://www.britainallover.com,020 7379 7727
92,The Borough Barista Ltd,"15 Charles Ii St, London, SW1Y 4QU",http://www.theboroughbarista.com,020 3272 0222
93,Caffe Vergnano 1882,"62 Charing Cross Rd, London, WC2H 0BU",http://www.caffevergnano1882.co.uk,020 7240 3512
94,Happy Lemon Plus,"24A Newport Court, Chinatown, LONDON, WC2H 7JS",http://www.happy-lemon.co.uk,020 7734 1966
95,The Arts Cafe,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",http://www.artstheatrewestend.co.uk,020 7836 8463
96,Department of Coffee & Social Affairs,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",http://departmentofcoffee.com,
97,Costa,"37 Southampton Street, Covent Garden, LONDON, WC2E 7HG",http://www.costa.co.uk,020 7240 2135
98,Department of Coffee & Social Affairs,"19 Slingsby Place, Covent Garden, LONDON, WC2E 9AB",http://departmentofcoffee.com,
99,Laduree,"1 The Market The Piazza, London, WC2E 8RA",https://www.laduree.co.uk/238918/laduree-london-covent-garden.html,020 7240 0706
100,Broomfield Cafe,"64 Aldermans Hill, London, N13 4PP",,020 3953 9496
101,The Coffee Place,"61-63 Woodhouse Rd, London, N12 9ET",http://thecoffeeplace.info/,07491 602335
102,Venchi,"18 Covent Garden Market, Covent Garden, London, WC2E 8RB",,0203632 1668
103,Absolutely Fad Cafe,"32 Coventry St, London, W1D 6BR",,020 7930 5394
104,Morelli's Gelato,"Covent Garden, LONDON, WC2E 8BE",,020 3602 0540
105,Timber Yard,"7 Upper St Martins Lane, Covent Garden, LONDON, WC2H 9NY",http://www.timberyardlondon.com,020 3217 2009
106,Hotel Chocolat,"10 The Market The Piazza, London, WC2E 8RB",https://www.hotelchocolat.com/uk,020 7836 3349
107,Cupcake Stories,"34 The Market The Piazza, London, WC2E 8RE",http://www.sweetheartcupcakes.co.uk,020 7240 5039
108,Melba,"100 Strand, London, WC2R 0EW",http://www.thesavoylondon.com,020 7836 4343
109,Abuelo,"26 Southampton Street, Covent Garden, LONDON, WC2E 7JA",http://www.abuelocafe.co.uk,020 7836 8476
110,Urban Tea Rooms Ltd,"2 St James's Market, London, SW1Y 4SB",,0207321 0605
111,Woo Tea,"26 Wardour Street, Chinatown, LONDON, W1D 6QL",,
112,Woo Tea,"26 Wardour Street, London, W1D 6QL",https://linktr.ee/wootealondon,020 7434 2028
113,Urban Tea Rooms,"2A St James's Market, LONDON, SW1Y 4AH",http://www.urbantearooms.com,020 7321 0605
114,Caffe Nero,"27 Haymarket, London, SW1Y 4EN",http://www.caffenero.co.uk,020 7930 9901
115,Bar Bruno,"101 Wardour St, London, W1F 0UG",http://www.londontown.com/londoninformation/restaurant/bar_bruno/3710,020 7734 3750
116,Pret a Manger,"87-88 Strand, London, WC2R 0DW",http://www.pret.com,020 7932 5455
117,Cafe Chutney,"34 The Market, The Piazza, London, WC2E 8RE",http://www.cafechutney.co.uk,07956 910444
118,Fresh & Organic Cafe,"174 Drury Lane, London, WC2B 5QF",http://www.freshandorganic.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7404 5153
119,Ole & Steen,"St James 56 Haymarket, No 2 St James Market, London, SW1Y 4RP",https://oleandsteen.co.uk,020 3828 8242
120,Soho Coffee Co,"138 Strand, London, WC2R 1QA",https://sohocoffee.com/?utm_source=ExtNet&utm_medium=Yext,020 3358 6774
121,Yi Fang,"104 Shaftesbury Avenue, London, W1D 5EG",http://www.yifangtea.co.uk,020 7078 4214
122,Wright's,"15A Pall Mall, Charing Cross, LONDON, SW1Y 5LU",http://www.wrightsoflondon.co.uk,020 7976 1630
123,Picccadillly Coffee & Meeting House,"Piccadilly Circus, Haymarket, LONDON, W1J 0DA",,020 7800 0000
124,The Meat Market,"Unit 1a The Deck Jubilee Market Hall, The Piazza, London, WC2E 8BE",,0207240 4852
125,The Coffee Place,"61-63 Woodhouse Rd, London, N12 9ET",,07491 602335
126,MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
127,Candy Cafe,"3 Macclesfield St, London, W1D 6AU",http://www.candycafe.co.uk,020 7439 8507
128,Pret a Manger,"Retail Unit 2 2 Regent St, London, SW1Y 4PE",https://locations.pret.co.uk/london/retail-unit-2,020 7932 5309
129,Cafe El Buen Gusto,"39 Frith Street, Chinatown, LONDON, W1D 5LL",,020 7159 4440
130,Prima Sapori Italia,"1 Tavistock St Jubilee Market, The Piazza, London, WC2E 8BE",http://primacoventgarden.com,020 7836 5448
131,Caffe Nero,"30 Monmouth St, London, WC2H 9HA",http://www.caffenero.com,020 7240 8918
132,Creme De La Crepe,"Unit 29 The Market The Piazza, London, WC2E 8RE",http://www.cremedelacrepe.co.uk,020 7836 6896
133,"The Coffee Tree London Ltd,","222 Shaftesbury Avenue, London, WC2H 8EB",http://www.coffeetreegroup.co.uk,020 7240 5536
134,Simit Sarayi,"The London Pavilion, 1, Piccadilly, London, W1J 0DA",https://www.simitsarayi.com,020 7734 4302
135,Fabrique,"8 Earlham St, London, WC2H 9RY",http://fabrique.co.uk/,020 7240 1392
136,Coco,"52 Dean Street, Chinatown, LONDON, W1D 5BL",http://www.coco-tea.com,020 7831 3945
137,Flocafe,"83 Shaftesbury Avenue, London, W1D 5DX",http://www.flocafe.gr,020 7734 3559
138,Z Cafe,"14 Moor St, London, W1D 5AP",http://thezhotels.com,020 3551 3701
139,Cafe De Nata,"25 Old Compton St, London, W1D 5JN",http://www.cafedenata.com,020 7734 1279
140,Fernandez & Wells,"73 Beak St, London, W1F 9SR",http://www.fernandezandwells.com,020 7287 8124
141,Costa Coffee,"15 Westminster, London, SW1Y 4LR",http://www.costa.co.uk,020 7930 9596
